record:2180	sides:852	offsets:1166	T:1904
09:35:34.864525	888_1	1	0	0	3	300000	
09:37:12.878974	26_0	2	0	0	4	300001	1	
09:37:13.394190	26_1	3	1	3	4	300002	1	
09:37:34.389177	888_2	4	0	0	3	300003	
09:38:05.942212	26_8	5	0	0	4	300004	1	
09:38:07.872958	26_9	6	1	3	4	300005	1	
09:38:48.879691	51_0	7	0	0	3	300006	
09:38:49.903669	71_0	8	0	0	3	300007	
09:38:54.895976	41_0	9	0	0	4	300008	1	
09:38:55.419321	41_1	10	0	0	4	300009	1	
09:38:56.447134	41_2	11	1	1	4	300010	2	
09:38:58.936201	41_3	12	0	0	4	300011	1	
09:39:01.403025	41_4	13	1	1	4	300012	1	
09:39:02.439995	61_0	14	0	0	4	300013	1	
09:39:09.935750	61_2	15	1	1	4	300014	1	
09:39:10.354681	26_10	16	0	0	4	300015	1	
09:39:12.426805	26_12	17	1	3	4	300016	1	
09:39:14.398087	41_9	18	0	0	4	300017	1	
09:39:15.867146	26_14	19	0	0	4	300018	1	
09:39:17.408834	26_15	20	1	3	4	300019	2	
09:39:21.439167	51_3	21	0	0	4	300020	1	
09:39:22.374496	71_1	22	0	0	3	300021	
09:39:29.451213	71_2	23	0	0	4	300022	1	
09:39:31.394433	51_4	24	1	1	4	300023	1	
09:39:31.903279	71_3	25	1	1	4	300024	1	
09:39:34.363331	71_4	26	0	0	4	300025	1	
09:39:35.898757	71_6	27	1	1	4	300026	1	
09:39:36.918400	888_3	28	0	0	3	300027	
09:39:46.397141	41_11	29	1	1	4	300028	1	
09:39:53.366150	61_6	30	0	0	4	300029	1	
09:39:53.867685	61_7	31	1	1	4	300030	1	
09:39:54.379620	41_13	32	0	0	4	300031	1	
09:39:54.888406	41_14	33	1	1	4	300032	1	
09:39:55.906084	61_9	34	0	0	4	300033	1	
09:39:56.429466	61_10	35	0	0	4	300034	1	
09:39:56.848366	41_16	36	0	0	4	300035	1	
09:39:57.892694	61_11	37	1	1	4	300036	1	
09:39:59.415284	888_4	38	0	0	3	300037	
09:39:59.926466	41_19	39	1	1	4	300038	1	
09:40:00.429018	71_9	40	0	0	4	300039	1	
09:40:01.858525	71_10	41	1	1	4	300040	1	
09:40:05.385447	41_21	42	0	0	4	300041	1	
09:40:05.902752	41_22	43	1	1	4	300042	1	
09:40:09.925369	41_24	44	0	0	4	300043	1	
09:40:12.908902	41_25	45	1	1	4	300044	1	
09:40:14.347517	41_27	46	0	0	4	300045	1	
09:40:15.365993	61_15	47	0	0	4	300046	1	
09:40:16.387439	41_28	48	1	1	4	300047	1	
09:40:17.906759	61_16	49	1	1	4	300048	1	
09:40:21.368571	41_30	50	0	0	4	300049	1	
09:40:21.885735	41_31	51	1	1	4	300050	1	
09:40:22.907540	51_10	52	0	0	4	300051	1	
09:40:23.427237	41_32	53	0	0	4	300052	1	
09:40:25.393326	71_14	54	0	0	3	300053	
09:40:25.896946	71_15	55	0	0	3	300054	
09:40:26.919925	41_34	56	1	1	4	300055	1	
09:40:27.421717	51_11	57	1	1	4	300056	1	
09:40:28.873269	41_36	58	0	0	4	300057	1	
09:40:30.864806	71_16	59	0	0	4	300058	1	
09:40:33.901627	71_17	60	1	1	4	300059	1	
09:40:33.901641	41_38	61	1	1	4	300060	1	
09:40:35.364454	71_18	62	0	0	3	300061	
09:40:36.375618	41_41	63	0	0	4	300062	1	
09:40:36.375627	26_16	64	0	0	3	300063	
09:40:36.892724	51_12	65	0	0	4	300064	1	
09:40:37.409937	51_13	66	1	1	4	300065	1	
09:40:37.930447	41_43	67	1	1	4	300066	1	
09:40:39.925697	41_44	68	0	0	4	300067	1	
09:40:42.903390	41_45	69	1	1	4	300068	1	
09:40:48.931693	71_22	70	0	0	4	300069	1	
09:40:48.931771	61_18	71	0	0	4	300070	1	
09:40:49.437353	41_49	72	0	0	4	300071	1	
09:40:49.437419	61_19	73	0	0	4	300072	1	
09:40:49.856428	51_14	74	0	0	4	300073	1	
09:40:49.856534	71_23	75	1	1	4	300074	1	
09:40:52.861641	41_50	76	1	1	4	300075	1	
09:40:52.861857	61_20	77	1	1	3	300076	
09:40:55.387090	61_21	78	1	1	4	300077	1	
09:40:58.945178	71_27	79	0	0	4	300078	1	
09:40:58.945186	41_52	80	0	0	4	300079	1	
09:40:59.882643	71_28	81	1	1	4	300080	1	
09:41:00.849021	41_53	82	0	0	4	300081	1	
09:41:01.368409	71_30	83	0	0	3	300082	
09:41:04.379765	41_55	84	1	1	4	300083	1	
09:41:04.904443	51_15	85	1	1	3	300084	
09:41:04.904496	41_57	86	0	0	4	300085	1	
09:41:06.434581	41_58	87	1	1	3	300086	
09:41:06.855885	61_23	88	0	0	4	300087	1	
09:41:08.387775	61_24	89	0	0	4	300088	1	
09:41:09.928184	61_25	90	0	0	4	300089	1	
09:41:10.934906	41_60	91	1	1	4	300090	1	
09:41:11.441562	61_26	92	0	0	4	300091	1	
09:41:11.853144	51_16	93	1	1	4	300092	1	
09:41:13.901626	61_27	94	1	1	4	300093	1	
09:41:17.429745	61_28	95	1	1	4	300094	1	
09:41:18.437456	41_62	96	0	0	4	300095	1	
09:41:18.938946	61_30	97	0	0	4	300096	1	
09:41:19.443141	71_34	98	0	0	4	300097	1	
09:41:19.443145	41_64	99	0	0	4	300098	1	
09:41:20.353578	71_36	100	0	0	4	300099	1	
09:41:20.856549	41_65	101	1	1	4	300101	1	
09:41:21.363287	71_38	102	1	1	4	300102	2	
09:41:21.862793	61_32	103	1	1	4	300103	1	
09:41:22.379038	41_67	104	0	0	4	300104	1	
09:41:23.394260	51_23	105	0	0	4	300105	1	
09:41:24.404252	61_34	106	0	0	4	300106	1	
09:41:25.410502	61_36	107	0	0	4	300107	1	
09:41:25.912424	51_24	108	1	1	4	300108	1	
09:41:26.421602	41_71	109	0	0	4	300109	1	
09:41:27.428737	51_25	110	0	0	4	300110	1	
09:41:27.842675	41_72	111	1	1	4	300111	2	
09:41:28.345769	61_37	112	1	1	4	300112	1	
09:41:28.848933	51_26	113	1	1	4	300113	1	
09:41:29.351614	41_74	114	0	0	4	300114	1	
09:41:30.356092	71_39	115	0	0	4	300115	1	
09:41:31.865254	71_40	116	0	0	4	300116	1	
09:41:31.865268	26_20	117	0	0	4	300117	1	
09:41:32.369796	26_21	118	1	3	4	300118	1	
09:41:32.369802	41_79	119	1	1	4	300119	1	
09:41:33.877178	41_81	120	0	0	4	300120	1	
09:41:35.891529	41_82	121	1	1	4	300121	1	
09:41:36.406195	71_41	122	1	1	4	300122	1	
09:41:37.927099	41_83	123	0	0	4	300123	1	
09:41:38.941635	61_40	124	0	0	3	300124	
09:41:39.844324	41_86	125	0	0	4	300125	1	
09:41:39.844428	61_42	126	0	0	4	300126	1	
09:41:41.862279	61_44	127	0	0	3	300127	
09:41:43.383883	71_42	128	0	0	4	300128	1	
09:41:43.888519	41_87	129	0	0	4	300129	1	
09:41:44.896938	61_45	130	1	1	4	300130	1	
09:41:45.418478	41_88	131	1	1	4	300131	3	
09:41:47.367749	41_90	132	0	0	4	300132	1	
09:41:47.367753	71_43	133	1	1	3	300133	
09:41:48.375196	61_47	134	0	0	3	300134	
09:41:50.432276	41_91	135	0	0	4	300135	1	
09:41:50.432286	26_24	136	0	0	4	300136	2	
09:41:51.343998	71_44	137	1	1	4	300137	1	
09:41:51.344021	41_92	138	1	1	4	300138	1	
09:41:51.344030	26_25	139	1	3	4	300139	1	
09:41:55.366945	61_50	140	0	0	3	300140	
09:41:56.399957	71_45	141	0	0	4	300141	1	
09:41:56.907422	71_46	142	0	0	4	300142	1	
09:41:56.907451	26_26	143	0	0	3	300143	
09:41:58.932887	71_48	144	1	1	4	300144	1	
09:42:06.371504	888_5	145	0	0	3	300145	
09:42:12.940061	51_31	146	0	0	4	300146	1	
09:42:13.341164	51_32	147	1	1	4	300147	1	
09:42:15.870609	41_95	148	0	0	4	300148	1	
09:42:17.930133	41_96	149	1	1	4	300149	1	
09:42:22.358703	41_97	150	0	0	4	300150	1	
09:42:25.868945	41_98	151	1	1	4	300151	1	
09:42:41.407512	71_57	152	0	0	4	300152	1	
09:42:41.921067	71_58	153	1	1	4	300153	1	
09:42:43.373096	61_56	154	0	0	4	300154	1	
09:42:44.390249	61_58	155	0	0	3	300155	
09:42:44.390337	71_59	156	0	0	3	300156	
09:42:45.436568	26_30	157	0	0	3	300157	
09:42:45.859885	71_60	158	0	0	4	300158	1	
09:42:46.889360	61_60	159	1	1	4	300159	1	
09:42:47.926781	71_61	160	1	1	4	300160	1	
09:42:49.370375	71_62	161	0	0	4	300161	1	
09:42:49.370396	26_32	162	0	0	4	300162	2	
09:42:49.900476	26_33	163	0	0	4	300163	1	
09:42:50.410055	51_35	164	0	0	4	300164	1	
09:42:50.923821	26_34	165	1	3	4	300165	1	
09:42:50.923827	26_35	166	1	3	4	300166	2	
09:42:51.339030	71_63	167	1	1	3	300167	
09:42:53.405362	51_36	168	1	1	4	300168	1	
09:42:55.403703	41_106	169	0	0	4	300169	1	
09:42:56.420861	51_37	170	0	0	3	300170	
09:42:56.420932	71_65	171	1	1	4	300171	1	
09:42:56.929733	41_107	172	1	1	4	300172	1	
09:42:58.369434	41_108	173	0	0	4	300173	1	
09:42:59.399992	61_65	174	0	0	4	300174	1	
09:42:59.913589	41_109	175	1	1	4	300175	1	
09:43:02.928055	41_110	176	0	0	4	300176	1	
09:43:06.426959	61_67	177	1	1	4	300177	1	
09:43:07.438180	41_113	178	1	1	4	300178	1	
09:43:11.917877	41_115	179	0	0	4	300179	1	
09:43:12.839980	41_116	180	0	0	4	300180	1	
09:43:13.857149	41_117	181	1	1	4	300181	1	
09:43:16.393978	41_118	182	0	0	4	300182	1	
09:43:16.896787	41_119	183	0	0	4	300183	1	
09:43:17.421950	41_120	184	0	0	4	300184	1	
09:43:17.934077	41_121	185	1	1	4	300185	1	
09:43:19.887603	41_122	186	0	0	4	300186	1	
09:43:22.442000	41_123	187	1	1	4	300187	1	
09:43:38.380695	41_127	188	0	0	4	300188	1	
09:43:39.436222	41_128	189	1	1	4	300189	1	
09:43:40.913639	41_129	190	0	0	3	300190	
09:43:51.853691	71_74	191	0	0	4	300191	1	
09:43:52.360327	51_39	192	0	0	4	300192	1	
09:43:52.360393	71_75	193	1	1	4	300193	1	
09:43:55.899085	41_133	194	0	0	4	300194	1	
09:43:56.433124	41_134	195	1	1	4	300195	1	
09:43:57.372480	51_40	196	1	1	4	300196	1	
09:43:59.893790	61_72	197	0	0	4	300197	1	
09:44:00.906767	61_73	198	1	1	3	300198	
09:44:02.344987	51_41	199	0	0	4	300199	1	
09:44:02.345093	41_137	200	0	0	4	300200	1	
09:44:04.916946	41_139	201	0	0	3	300201	
09:44:04.917180	61_77	202	1	1	4	300202	1	
09:44:04.917532	26_36	203	0	0	3	300203	
09:44:05.432425	41_140	204	0	0	3	300204	
09:44:06.338532	41_141	205	1	1	4	300205	1	
09:44:06.859494	51_42	206	1	1	4	300206	1	
09:44:06.859546	888_6	207	0	0	3	300207	
09:44:17.356632	61_82	208	0	0	4	300208	1	
09:44:19.936906	61_83	209	1	1	4	300209	1	
09:44:20.856065	61_85	210	0	0	3	300210	
09:44:29.359563	41_147	211	0	0	4	300211	1	
09:44:29.880778	51_44	212	0	0	4	300212	1	
09:44:29.882702	41_148	213	0	0	3	300213	
09:44:29.882780	26_42	214	0	0	3	300214	
09:44:31.340861	41_150	215	1	1	4	300215	1	
09:44:31.860090	51_45	216	1	1	4	300216	1	
09:44:32.380859	71_86	217	0	0	4	300217	1	
09:44:33.428881	26_44	218	0	0	3	300218	
09:44:34.363046	61_87	219	0	0	4	300219	1	
09:44:35.394975	61_88	220	0	0	4	300220	1	
09:44:35.904505	71_87	221	1	1	4	300221	1	
09:44:36.414598	61_89	222	1	1	4	300222	1	
09:44:39.381824	71_88	223	0	0	3	300223	
09:44:39.381834	41_155	224	0	0	3	300224	
09:44:39.381889	26_46	225	0	0	3	300225	
09:44:43.855644	41_158	226	0	0	4	300226	1	
09:44:44.370473	71_91	227	0	0	3	300227	
09:44:44.876229	41_160	228	0	0	4	300228	1	
09:44:45.887174	41_161	229	0	0	4	300229	1	
09:44:46.404370	41_162	230	0	0	4	300230	1	
09:44:48.868170	61_93	231	0	0	4	300231	1	
09:44:50.374744	61_95	232	0	0	4	300232	1	
09:44:50.882709	61_96	233	0	0	4	300233	1	
09:44:54.428319	71_92	234	0	0	4	300234	1	
09:44:54.428495	61_98	235	1	1	4	300235	1	
09:44:55.339393	71_93	236	0	0	4	300236	1	
09:44:55.339478	61_100	237	0	0	4	300237	1	
09:44:56.344046	61_102	238	1	1	4	300238	1	
09:44:57.860249	41_163	239	1	1	4	300239	1	
09:44:59.884128	71_95	240	1	1	4	300240	1	
09:45:01.401911	41_167	241	0	0	4	300241	1	
09:45:01.401918	26_48	242	0	0	3	300242	
09:45:02.921901	26_49	243	0	0	4	300243	2	
09:45:03.432485	71_97	244	0	0	4	300244	1	
09:45:05.361129	71_98	245	1	1	4	300245	1	
09:45:05.361151	41_168	246	1	1	4	300246	1	
09:45:05.863217	26_51	247	1	3	4	300247	1	
09:45:10.347307	41_171	248	0	0	4	300248	1	
09:45:10.347392	61_104	249	0	0	4	300249	1	
09:45:11.361308	61_106	250	0	0	4	300250	1	
09:45:11.864146	41_172	251	0	0	4	300251	1	
09:45:12.369827	61_107	252	0	0	3	300252	
09:45:13.385409	26_54	253	0	0	3	300253	
09:45:14.917129	41_175	254	1	1	4	300254	2	
09:45:14.917288	61_108	255	1	1	4	300255	1	
09:45:18.415096	41_177	256	0	0	4	300256	1	
09:45:20.382088	71_106	257	0	0	3	300257	
09:45:20.883344	41_179	258	0	0	4	300258	1	
09:45:21.413907	26_56	259	0	0	3	300259	
09:45:21.841194	41_181	260	1	1	4	300260	2	
09:45:23.376425	51_50	261	0	0	4	300261	1	
09:45:29.931173	51_51	262	1	1	3	300262	
09:45:32.420609	51_52	263	1	1	3	300263	
09:45:34.392479	41_187	264	0	0	4	300264	1	
09:45:36.345676	41_188	265	0	0	4	300265	1	
09:45:37.403848	41_189	266	1	1	4	300266	1	
09:45:38.864040	61_112	267	0	0	4	300267	1	
09:45:39.398768	51_53	268	1	1	4	300268	1	
09:45:39.398984	61_113	269	1	1	4	300269	1	
09:45:43.838184	71_109	270	0	0	4	300270	1	
09:45:44.343680	71_110	271	1	1	3	300271	
09:45:44.343720	61_116	272	0	0	4	300272	1	
09:45:46.365156	41_193	273	0	0	3	300273	
09:45:46.365171	26_58	274	0	0	3	300274	
09:45:46.867729	71_112	275	0	0	4	300275	1	
09:45:46.868538	51_54	276	0	0	3	300276	
09:45:47.368769	71_113	277	1	1	4	300277	1	
09:45:49.395840	71_115	278	1	1	4	300278	1	
09:45:49.909341	61_118	279	1	1	4	300279	1	
09:45:50.427098	71_116	280	0	0	4	300280	1	
09:45:50.838433	41_196	281	0	0	3	300281	
09:45:52.366423	71_117	282	1	1	4	300282	1	
09:45:53.908350	71_118	283	0	0	4	300283	1	
09:45:54.415343	41_199	284	0	0	4	300284	1	
09:45:55.419526	51_55	285	0	0	3	300285	
09:45:55.419714	26_64	286	0	0	4	300286	2	
09:45:56.425378	41_200	287	1	1	4	300287	1	
09:45:56.425384	26_67	288	1	3	4	300288	2	
09:45:57.882506	71_119	289	0	0	4	300289	1	
09:45:59.413332	71_120	290	1	1	4	300290	1	
09:45:59.413337	888_7	291	0	0	3	300291	
09:46:01.885994	61_121	292	0	0	4	300292	1	
09:46:02.393789	61_122	293	0	0	4	300293	1	
09:46:03.929193	41_201	294	0	0	4	300294	1	
09:46:04.333157	41_202	295	0	0	4	300295	1	
09:46:04.841872	61_126	296	1	1	3	300296	
09:46:06.350903	71_121	297	0	0	4	300297	1	
09:46:06.853872	51_58	298	0	0	4	300298	1	
09:46:06.853970	41_204	299	0	0	4	300299	1	
09:46:08.362419	71_122	300	1	1	3	300300	
09:46:08.863512	41_205	301	0	0	4	300301	1	
09:46:09.372001	41_206	302	1	1	4	300302	2	
09:46:09.882796	51_59	303	1	1	4	300303	1	
09:46:10.385006	71_125	304	1	1	3	300304	
09:46:10.385120	61_128	305	1	1	4	300305	1	
09:46:10.891146	41_208	306	0	0	4	300306	1	
09:46:11.401155	41_209	307	0	0	4	300307	1	
09:46:11.907994	61_130	308	0	0	4	300308	1	
09:46:12.410670	61_131	309	1	1	4	300309	1	
09:46:12.915638	71_126	310	0	0	4	300310	1	
09:46:13.929606	26_68	311	0	0	4	300311	1	
09:46:14.431953	51_60	312	0	0	4	300312	1	
09:46:16.345847	71_128	313	1	1	4	300313	1	
09:46:16.345863	41_212	314	1	1	4	300314	1	
09:46:16.345876	26_69	315	1	3	4	300315	2	
09:46:16.856318	51_61	316	1	1	3	300316	
09:46:17.870440	41_214	317	0	0	4	300317	1	
09:46:18.894638	61_133	318	0	0	4	300318	1	
09:46:19.396681	41_216	319	0	0	4	300319	1	
09:46:20.403035	71_129	320	0	0	4	300320	1	
09:46:20.403039	41_218	321	0	0	4	300321	1	
09:46:21.412858	61_135	322	0	0	4	300322	1	
09:46:22.422609	41_219	323	1	1	4	300323	1	
09:46:22.833201	41_221	324	0	0	4	300324	1	
09:46:22.833214	26_70	325	0	0	4	300325	2	
09:46:24.367417	41_222	326	1	1	4	300326	1	
09:46:24.367425	26_71	327	1	3	4	300327	1	
09:46:24.368582	71_131	328	1	1	3	300328	
09:46:26.411306	71_133	329	1	1	3	300329	
09:46:26.411439	61_136	330	1	1	3	300330	
09:46:27.926321	26_72	331	0	0	4	300331	2	
09:46:27.926434	61_138	332	0	0	4	300332	1	
09:46:28.427222	41_224	333	0	0	4	300333	1	
09:46:28.928062	41_225	334	0	0	4	300334	1	
09:46:28.928144	61_139	335	0	0	4	300336	1	
09:46:29.434791	71_135	336	0	0	4	300337	1	
09:46:29.434855	51_62	337	1	1	4	300338	1	
09:46:29.837421	41_226	338	1	1	4	300339	1	
09:46:29.837429	26_76	339	1	3	4	300340	1	
09:46:30.338528	61_140	340	1	1	3	300342	
09:46:30.840361	71_138	341	1	1	4	300343	1	
09:46:32.346090	41_229	342	0	0	4	300344	1	
09:46:32.346790	71_139	343	0	0	4	300345	1	
09:46:32.848803	41_230	344	0	0	4	300346	1	
09:46:33.357244	61_142	345	1	1	3	300347	
09:46:33.859007	41_231	346	0	0	4	300348	1	
09:46:34.359103	71_140	347	1	1	4	300349	1	
09:46:34.359130	41_232	348	1	1	3	300350	
09:46:35.883968	71_141	349	0	0	4	300351	1	
09:46:36.388416	71_142	350	1	1	4	300352	1	
09:46:37.396266	71_144	351	0	0	4	300353	1	
09:46:38.401449	71_146	352	1	1	4	300354	1	
09:46:39.918207	41_235	353	1	1	3	300355	
09:46:42.343115	51_64	354	0	0	4	300356	1	
09:46:44.370176	51_65	355	1	1	4	300357	1	
09:46:44.370353	61_144	356	1	1	4	300358	2	
09:46:48.914356	61_146	357	0	0	4	300359	1	
09:46:49.415476	71_152	358	0	0	4	300360	1	
09:46:49.415519	41_237	359	1	1	4	300361	3	
09:46:49.415587	61_147	360	0	0	4	300362	1	
09:46:49.833391	71_153	361	1	1	4	300363	1	
09:46:51.342643	41_241	362	0	0	4	300364	1	
09:46:51.342655	26_79	363	0	0	4	300365	1	
09:46:51.342742	61_148	364	1	1	4	300366	1	
09:46:51.844776	61_149	365	0	0	4	300367	1	
09:46:52.351624	26_80	366	1	3	4	300368	1	
09:46:54.375262	71_155	367	0	0	4	300369	1	
09:46:54.375404	61_150	368	1	1	4	300370	1	
09:46:54.878098	41_243	369	1	1	4	300371	1	
09:46:55.389991	51_66	370	0	0	4	300372	1	
09:46:55.390075	71_156	371	0	0	4	300373	1	
09:46:55.896272	51_67	372	1	1	4	300374	1	
09:46:56.398640	71_157	373	1	1	4	300375	1	
09:46:57.908580	26_82	374	0	0	4	300376	2	
09:47:01.426047	26_84	375	1	3	4	300377	1	
09:47:03.359828	41_245	376	0	0	4	300378	1	
09:47:03.359842	26_85	377	0	0	4	300379	1	
09:47:04.873360	26_86	378	1	3	4	300380	1	
09:47:04.873384	61_153	379	0	0	3	300381	
09:47:05.375328	61_154	380	0	0	4	300382	1	
09:47:05.878124	61_155	381	1	1	4	300383	1	
09:47:06.896997	71_160	382	0	0	4	300384	1	
09:47:06.897001	41_246	383	0	0	4	300385	1	
09:47:06.897019	26_87	384	0	0	4	300386	1	
09:47:08.922451	41_247	385	0	0	4	300387	1	
09:47:09.835060	26_90	386	0	0	3	300388	
09:47:10.347134	41_249	387	0	0	4	300389	1	
09:47:10.850334	26_91	388	0	0	4	300390	2	
09:47:11.866094	41_250	389	1	1	4	300391	2	
09:47:12.384372	71_163	390	1	1	4	300392	1	
09:47:12.384402	26_92	391	1	3	4	300393	1	
09:47:12.384423	26_96	392	1	3	4	300394	2	
09:47:13.911314	61_156	393	0	0	4	300395	1	
09:47:14.419771	51_69	394	0	0	4	300396	1	
09:47:15.335503	51_70	395	1	1	4	300397	1	
09:47:15.848567	61_157	396	0	0	4	300398	1	
09:47:18.890036	41_251	397	0	0	4	300399	1	
09:47:20.394807	41_254	398	0	0	4	300400	1	
09:47:20.394921	61_160	399	0	0	4	300401	1	
09:47:20.896487	41_255	400	0	0	4	300402	1	
09:47:21.904628	61_161	401	1	1	3	300403	
09:47:24.333289	61_163	402	1	1	4	300404	2	
09:47:26.882141	51_71	403	0	0	4	300405	1	
09:47:27.388427	41_256	404	1	1	4	300406	2	
09:47:28.922572	26_97	405	0	0	4	300407	1	
09:47:30.868174	71_165	406	0	0	4	300408	1	
09:47:30.868230	26_99	407	0	0	4	300409	1	
09:47:32.408462	71_166	408	1	1	4	300410	1	
09:47:32.408484	26_100	409	1	3	4	300411	1	
09:47:32.408493	26_102	410	1	3	4	300412	1	
09:47:32.408916	51_72	411	1	1	4	300413	1	
09:47:36.404518	51_73	412	0	0	4	300414	1	
09:47:38.353778	51_74	413	1	1	4	300415	1	
09:47:41.415810	51_75	414	0	0	4	300416	1	
09:47:43.346850	71_167	415	0	0	4	300417	1	
09:47:43.848073	51_76	416	1	1	4	300418	1	
09:47:45.371196	41_261	417	0	0	4	300419	1	
09:47:45.874687	61_167	418	0	0	3	300420	
09:47:46.888923	26_103	419	0	0	4	300421	1	
09:47:48.408156	41_264	420	0	0	4	300422	1	
09:47:48.408221	61_168	421	0	0	4	300423	1	
09:47:49.410964	41_265	422	1	1	4	300424	2	
09:47:49.410973	26_105	423	1	3	4	300425	2	
09:47:49.411039	61_169	424	1	1	4	300426	1	
09:47:50.331938	41_267	425	0	0	4	300427	1	
09:47:50.837228	71_169	426	1	1	3	300428	
09:47:50.837238	26_107	427	0	0	4	300429	2	
09:47:51.341883	26_108	428	1	3	4	300430	2	
09:47:52.374530	41_269	429	0	0	4	300431	1	
09:47:53.392838	61_171	430	0	0	4	300432	1	
09:47:53.392844	71_172	431	1	1	4	300433	1	
09:47:54.399855	41_272	432	1	1	4	300434	1	
09:47:55.405708	41_274	433	0	0	4	300435	1	
09:47:56.420722	61_173	434	1	1	4	300436	1	
09:47:59.381493	41_277	435	1	1	4	300437	1	
09:47:59.381530	61_175	436	0	0	4	300438	1	
09:48:00.333170	71_178	437	0	0	4	300439	1	
09:48:01.355371	71_180	438	1	1	4	300440	1	
09:48:01.355384	26_113	439	0	0	4	300441	2	
09:48:01.860445	61_176	440	1	1	4	300442	1	
09:48:03.377569	41_281	441	0	0	4	300443	1	
09:48:03.880551	26_114	442	0	0	4	300444	2	
